Nombre del Servicio,Descripción,Vínculo (servicio relacionado),Categoría,Fecha de venta,Mes de inicio de cobro,Fecha de Revisión de Valor,Frecuencia (ventas),Frecuencia (cobros),Precio,Importe facturado,Precio total (plazos),IVA,Cliente Fundador/ Impulso Digital,Activo en catálogo,Gastos,Notas
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/1/2029,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/5/2027,1/5/2027,,5,5,"€79,00","477,95 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/5/2027,1/5/2027,,10,10,"€39,00","471,90 €",,21%,,,,
SourceCraft: Audit,,,Puntual,1/5/2027,1/5/2027,,1,1,"€89,00","107,69 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/6/2027,1/6/2027,,4,4,"€149,00","721,16 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/6/2027,1/6/2027,,8,8,"€49,00","474,32 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/6/2027,1/6/2028,1,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/7/2027,1/6/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/8/2027,1/6/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/9/2027,1/6/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/10/2027,1/6/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/11/2027,1/6/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/12/2027,1/6/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/1/2028,1/6/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/2/2028,1/6/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/3/2028,1/6/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/4/2028,1/6/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,50,Mantenimiento,1/6/2027,1/5/2028,1/6/2028,0,1,"€150,00","181,50 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/6/2027,1/6/2027,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/6/2027,1/6/2027,,5,5,"€79,00","477,95 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/6/2027,1/6/2027,,10,10,"€39,00","471,90 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/7/2027,1/7/2027,,2,2,"€149,00","360,58 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/7/2027,1/7/2027,,5,5,"€49,00","296,45 €",,21%,,,,
N1: Auditoría de Salud,,,Puntual,1/7/2027,1/8/2027,,1,1,"€950,00","689,70 €",,21%,checked,,,
PersonaCraft: Estratega,,,Pay per Use,1/7/2027,1/7/2027,,3,3,"€79,00","286,77 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/7/2027,1/7/2027,,6,6,"€39,00","283,14 €",,21%,,,,
SourceCraft: Monitor,,,Recurrente Pasivo,1/7/2027,1/7/2027,,1,4,"€129,00","624,36 €",,21%,,,,
SourceCraft: Monitor,,155,Recurrente Pasivo,1/7/2027,1/8/2027,,0,4,"€129,00","624,36 €",,21%,,,,
SourceCraft: Monitor,,155,Recurrente Pasivo,1/7/2027,1/9/2027,,0,4,"€129,00","624,36 €",,21%,,,,
SourceCraft: Monitor,,155,Recurrente Pasivo,1/7/2027,1/10/2027,,0,4,"€129,00","624,36 €",,21%,,,,
SourceCraft: Monitor,,155,Recurrente Pasivo,1/7/2027,1/11/2027,,0,4,"€129,00","624,36 €",,21%,,,,
SourceCraft: Monitor,,155,Recurrente Pasivo,1/7/2027,1/12/2027,,0,4,"€129,00","624,36 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/8/2027,1/8/2027,,1,1,"€149,00","180,29 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/8/2027,1/8/2027,,3,3,"€49,00","177,87 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/8/2027,1/8/2028,1,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/9/2027,1/8/2028,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/10/2027,1/8/2028,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/11/2027,1/8/2028,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/12/2027,1/8/2028,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/1/2028,1/8/2028,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/2/2028,1/8/2028,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/3/2028,1/8/2028,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/4/2028,1/8/2028,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/5/2028,1/8/2028,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/6/2028,1/8/2028,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,57,Mantenimiento,1/8/2027,1/7/2028,1/8/2028,0,1,"€350,00","423,50 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/8/2027,1/8/2027,,2,2,"€79,00","191,18 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/8/2027,1/8/2027,,4,4,"€39,00","188,76 €",,21%,,,,
SourceCraft: Audit,,,Puntual,1/8/2027,1/8/2027,,1,1,"€89,00","107,69 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/9/2027,1/9/2027,,3,3,"€149,00","540,87 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/9/2027,1/9/2027,,10,10,"€49,00","592,90 €",,21%,,,,
N1: Auditoría de Salud,,,Puntual,1/9/2027,1/10/2027,,1,1,"€950,00","1.149,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/9/2027,1/9/2028,1,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/10/2027,1/9/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/12/2027,1/9/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/11/2027,1/9/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/1/2028,1/9/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/2/2028,1/9/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/3/2028,1/9/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/4/2028,1/9/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/5/2028,1/9/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/7/2028,1/9/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/6/2028,1/9/2028,0,1,"€150,00","181,50 €",,21%,,,,
N3 Mantenimiento,,92,Mantenimiento,1/9/2027,1/8/2028,1/9/2028,0,1,"€150,00","181,50 €",,21%,,,,
N4: Módulo de Anticipación,Plazo 1,,Puntual,1/9/2027,1/9/2027,,1,1,"€3.750,00","4.537,50 €","€7.500,00",21%,,,,
N4: Módulo de Anticipación,Plazo 2,193,Puntual,1/9/2027,1/11/2027,,0,1,"€3.750,00","4.537,50 €","€7.500,00",21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/9/2027,1/9/2027,,2,2,"€199,00","481,58 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/9/2027,1/9/2027,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/9/2027,1/9/2027,,10,10,"€39,00","471,90 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/10/2027,1/10/2027,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/10/2027,1/10/2027,,10,10,"€49,00","592,90 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/10/2027,1/10/2027,,1,1,"€499,00","603,79 €",,21%,,,,
"Formación ""Despertar""",,,Puntual,1/10/2027,1/10/2027,,1,1,"€150,00","150,00 €",,0%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/10/2027,1/10/2027,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/10/2027,1/10/2027,,12,12,"€39,00","566,28 €",,21%,,,,
SourceCraft: Global,,,Recurrente Pasivo,1/10/2027,1/10/2027,,1,3,"€349,00","1.266,87 €",,21%,,,,
SourceCraft: Global,,204,Recurrente Pasivo,1/10/2027,1/11/2027,,0,3,"€349,00","1.266,87 €",,21%,,,,
SourceCraft: Global,,204,Recurrente Pasivo,1/10/2027,1/12/2027,,0,3,"€349,00","1.266,87 €",,21%,,,,
SourceCraft: Global,,204,Recurrente Pasivo,1/10/2027,1/1/2028,,0,3,"€349,00","1.266,87 €",,21%,,,,
SourceCraft: Global,,204,Recurrente Pasivo,1/10/2027,1/2/2028,,0,3,"€349,00","1.266,87 €",,21%,,,,
SourceCraft: Global,,204,Recurrente Pasivo,1/10/2027,1/3/2028,,0,3,"€349,00","1.266,87 €",,21%,,,,
SourceCraft: Global,,204,Recurrente Pasivo,1/10/2027,1/4/2028,,0,3,"€349,00","1.266,87 €",,21%,,,,
SourceCraft: Global,,204,Recurrente Pasivo,1/10/2027,1/5/2028,,0,3,"€349,00","1.266,87 €",,21%,,,,
SourceCraft: Global,,204,Recurrente Pasivo,1/10/2027,1/6/2028,,0,3,"€349,00","1.266,87 €",,21%,,,,
SourceCraft: Global,,204,Recurrente Pasivo,1/10/2027,1/7/2028,,0,3,"€349,00","1.266,87 €",,21%,,,,
SourceCraft: Global,,204,Recurrente Pasivo,1/10/2027,1/8/2028,,0,3,"€349,00","1.266,87 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/11/2027,1/11/2027,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/11/2027,1/11/2027,,10,10,"€49,00","592,90 €",,21%,,,,
N1: Auditoría de Salud,,,Puntual,1/11/2027,1/12/2027,,1,1,"€950,00","1.149,50 €",,21%,,,,
